date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
03/20/2015,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,Company believes it acted appropriately as authorized by contract or law,"Diversified Adjustment Service, Inc.",,,,,Phone,03/23/2015,Closed with explanation,Yes,No,1293624
10/30/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Wells Fargo & Company,,,Older American,,Phone,10/31/2013,Closed with non-monetary relief,Yes,Yes,578584
03/08/2016,Bank account or service,Checking account,Deposits and withdrawals,,,Company believes it acted appropriately as authorized by contract or law,USAA Savings,,,,,Referral,03/09/2016,Closed with explanation,Yes,No,1821515
01/21/2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,"Navient Solutions, Inc.",,,Older American,,Phone,01/22/2015,Closed with non-monetary relief,Yes,No,1202722
11/21/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,,,,,Referral,11/22/2013,Closed with explanation,Yes,No,607197
10/24/2012,Bank account or service,Checking account,Problems caused by my funds being low,,,,JPMorgan Chase & Co.,,,,,Referral,10/25/2012,Closed with explanation,Yes,No,177749
01/06/2015,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Wells Fargo & Company,,,,,Phone,01/07/2015,Closed with explanation,Yes,No,1181890
01/21/2014,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"Portfolio Recovery Associates, Inc.",,,,,Phone,01/28/2014,Closed with non-monetary relief,Yes,No,678296
03/05/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"Sterling Infosystems, Inc.",,,,,Postal mail,04/15/2013,Untimely response,No,No,342803
02/22/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMorgan Chase & Co.,,,,,Referral,02/26/2013,Closed with explanation,Yes,Yes,327069
03/19/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,,,,,Referral,03/20/2013,Closed with explanation,Yes,No,358692
06/04/2013,Consumer Loan,Vehicle lease,Taking out the loan or lease,,,,American Honda Finance Corporation,,,,,Referral,06/10/2013,Closed with explanation,Yes,Yes,423786
03/12/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,,,,,Phone,03/16/2015,Closed,Yes,No,1280332
08/25/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Comerica,,,Older American,,Referral,09/01/2015,Closed with explanation,Yes,No,1536519
03/19/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,,,,,Email,03/19/2012,Closed without relief,Yes,No,36989
06/24/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,U.S. Bancorp,,,,,Phone,06/26/2014,Closed with explanation,Yes,No,909411
04/08/2016,Credit reporting,,Incorrect information on credit report,Public record,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,,,,,Phone,04/08/2016,Closed with explanation,Yes,No,1870507
06/26/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,,,,,Referral,06/30/2014,Closed with explanation,Yes,No,913362
09/10/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Pentagon FCU,,,,,Email,09/11/2013,Closed with non-monetary relief,Yes,No,522383
09/13/2012,Credit card,,Late fee,,,,Capital One,,,"Older American, Servicemember",,Phone,09/13/2012,Closed with monetary relief,Yes,No,151725
10/06/2014,Money transfers,International money transfer,Fraud or scam,,,,The Western Union Company,,,,,Phone,10/10/2014,Closed with explanation,Yes,No,1059792
08/05/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,,,Servicemember,,Phone,08/14/2014,Closed with explanation,Yes,No,969779
12/03/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,,,,,Fax,12/04/2013,Closed with explanation,Yes,Yes,618652
12/15/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,,Company believes it acted appropriately as authorized by contract or law,"NetSpend Corporation,  a TSYS Company",,,,,Referral,12/17/2015,Closed with explanation,Yes,No,1697634
09/10/2014,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,,,,,Postal mail,10/07/2014,Closed with explanation,Yes,No,1022759
03/09/2012,Credit card,,Transaction issue,,,,Bank of America,,,,,Phone,03/12/2012,Closed with relief,Yes,Yes,33120
07/11/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,,,,,Referral,07/15/2013,Closed with explanation,Yes,No,455805
01/22/2016,Bank account or service,Checking account,Deposits and withdrawals,,,Company chooses not to provide a public response,Wells Fargo & Company,,,,,Referral,01/26/2016,Closed with explanation,Yes,No,1754433
03/28/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase & Co.,,,,,Referral,04/02/2013,Closed with explanation,Yes,Yes,368079
03/02/2015,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Capital One,,,,,Fax,03/03/2015,Closed with explanation,Yes,No,1263716
03/01/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,,,,,Referral,03/05/2013,Closed with explanation,Yes,No,338181
07/17/2014,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,Bank of America,,,,,Phone,07/23/2014,Closed with non-monetary relief,Yes,No,942486
10/14/2015,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,Company chooses not to provide a public response,Wells Fargo & Company,,,,,Referral,10/16/2015,Closed with explanation,Yes,No,1606479
04/13/2016,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,,,Experian,,,,,Referral,04/14/2016,In progress,Yes,No,1878666
02/11/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,,,,,Phone,02/12/2016,Closed with explanation,Yes,No,1783358
07/12/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,SquareTwo Financial Corporation,,,,,Phone,08/06/2013,Closed with monetary relief,Yes,No,456510
08/13/2012,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,Wells Fargo & Company,,,,,Referral,08/16/2012,Closed with explanation,Yes,No,134637
12/23/2014,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,"Apple Law Group, Inc.",,,,,Phone,12/30/2014,Untimely response,No,No,1168921
03/10/2012,Credit card,,Identity theft / Fraud / Embezzlement,,,,Capital One,,,,,Postal mail,03/12/2012,Closed with relief,Yes,No,83466
03/16/2016,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,,,,,Fax,03/16/2016,In progress,Yes,No,1836292
10/30/2014,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,,,,,Referral,11/05/2014,Closed with explanation,Yes,No,1094462
09/26/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Stearns Ventures, LLC",,,,,Phone,10/06/2014,Closed with explanation,Yes,No,1047538
03/15/2016,Mortgage,Other mortgage,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Wells Fargo & Company,,,,,Referral,03/17/2016,Closed with explanation,Yes,No,1834118
10/26/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,,Company believes complaint is the result of an isolated error,"NetSpend Corporation,  a TSYS Company",,,Servicemember,,Phone,10/29/2015,Closed with monetary relief,Yes,No,1624320
12/22/2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,Company chooses not to provide a public response,Sunrise Credit Services Inc.,,,,,Postal mail,12/24/2015,Closed with explanation,Yes,No,1713436
04/13/2015,Credit reporting,,Incorrect information on credit report,Personal information,,Company chooses not to provide a public response,Experian,,,,,Web,04/15/2015,Closed with explanation,Yes,Yes,1326777
04/09/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,,,,,Phone,04/10/2015,Closed with explanation,Yes,No,1323636
